636016288>_<1548979205,20939,40,583509,40,-125.25569,48.31334,1548982776,-125.25713,48.31224,1548982805
636016288>_<1548979205,20939,41,583509,41,-125.25713,48.31224,1548982805,-125.26069,48.30954,1548982876
636016288>_<1548979205,20939,42,583509,42,-125.26069,48.30954,1548982876,-125.2641,48.3069,1548982945
636016288>_<1548979205,20939,43,583509,43,-125.2641,48.3069,1548982945,-125.2676,48.30425,1548983014
636016288>_<1548979205,20939,44,583509,44,-125.2676,48.30425,1548983014,-125.27059,48.30198,1548983075
636016288>_<1548979205,20939,45,583509,45,-125.27059,48.30198,1548983075,-125.27413,48.29932,1548983146
636016288>_<1548979205,20939,46,583509,46,-125.27413,48.29932,1548983146,-125.27763,48.29663,1548983215
636016288>_<1548979205,20939,47,583509,47,-125.27763,48.29663,1548983215,-125.28112,48.29391,1548983285
636016288>_<1548979205,20939,48,583509,48,-125.28112,48.29391,1548983285,-125.28513,48.29083,1548983364
636016288>_<1548979205,20939,49,583509,49,-125.28513,48.29083,1548983364,-125.28865,48.28813,1548983435
636016288>_<1548979205,20939,50,583509,50,-125.28865,48.28813,1548983435,-125.29215,48.28544,1548983505
636016288>_<1548979205,20939,51,583509,51,-125.29215,48.28544,1548983505,-125.29573,48.28271,1548983575
636016288>_<1548979205,20939,52,583509,52,-125.29573,48.28271,1548983575,-125.29911,48.28009,1548983645
636016288>_<1548979205,20939,53,583509,53,-125.29911,48.28009,1548983645,-125.30254,48.27729,1548983715
636016288>_<1548979205,20939,54,583509,54,-125.30254,48.27729,1548983715,-125.30595,48.2745,1548983785
636016288>_<1548979205,20939,55,583509,55,-125.30595,48.2745,1548983785,-125.30881,48.27216,1548983846
636016288>_<1548979205,20939,56,583509,56,-125.30881,48.27216,1548983846,-125.31263,48.26904,1548983926
636016288>_<1548979205,20939,57,583509,57,-125.31263,48.26904,1548983926,-125.31592,48.26626,1548983995
636016288>_<1548979205,20939,58,583509,58,-125.31592,48.26626,1548983995,-125.31968,48.26312,1548984074
636016288>_<1548979205,20939,59,583509,59,-125.31968,48.26312,1548984074,-125.32391,48.25948,1548984165
636016288>_<1548979205,20939,60,583509,60,-125.32391,48.25948,1548984165,-125.33004,48.2544,1548984294
636016288>_<1548979205,20939,61,583509,61,-125.33004,48.2544,1548984294,-125.33521,48.25005,1548984405
636016288>_<1548979205,20939,62,583509,62,-125.33521,48.25005,1548984405,-125.3384,48.24726,1548984474
636016288>_<1548979205,20939,63,583509,63,-125.3384,48.24726,1548984474,-125.34156,48.2445,1548984544
636016288>_<1548979205,20939,64,583509,64,-125.34156,48.2445,1548984544,-125.34661,48.24013,1548984654
636016288>_<1548979205,20939,65,583509,65,-125.34661,48.24013,1548984654,-125.34948,48.23766,1548984716
636016288>_<1548979205,20939,66,583509,66,-125.34948,48.23766,1548984716,-125.35265,48.23485,1548984785
636016288>_<1548979205,20939,67,583509,67,-125.35265,48.23485,1548984785,-125.35537,48.23246,1548984846
636016288>_<1548979205,20939,68,583509,68,-125.35537,48.23246,1548984846,-125.35853,48.22971,1548984915
636016288>_<1548979205,20939,69,583509,69,-125.35853,48.22971,1548984915,-125.36127,48.22728,1548984976
636016288>_<1548979205,20939,70,583509,70,-125.36127,48.22728,1548984976,-125.36444,48.2245,1548985046
636016288>_<1548979205,20939,71,583509,71,-125.36444,48.2245,1548985046,-125.37077,48.219,1548985184
